cylinders,displacement,horsepower,weight,acceleration,model year,origin,mpg
8,0.06689106331800958,-0.31615592056185693,0.25995400769033905,-0.21636553379238554,70,1,18.0
8,0.4758459054044173,0.4383070716880294,0.5641098524291386,-0.3966701452860403,70,1,15.0
8,0.17150741827034643,0.11496578929522097,0.15052227519172334,-0.576974756779695,70,1,18.0
8,0.038359330149190435,0.11496578929522097,0.14569440464031383,-0.21636553379238554,70,1,16.0
8,0.019338174703311003,-0.10059506563331796,0.17144304758116458,-0.7572793682733497,70,1,17.0
8,1.2271815455166546,1.1496578929522079,1.6069298915335943,-0.9375839797670045,70,1,15.0
8,1.4649459885901475,1.6238917737949936,1.6278506639230355,-1.298193202754314,70,1,14.0
8,1.3317979004689915,1.516111346330724,1.5602604762033023,-1.4784978142479688,70,1,14.0
8,1.4744565663130873,1.7316722012592631,1.7421102669730608,-0.9375839797670045,70,1,14.0
8,0.8562690143220059,0.9772092090093768,0.8167684112862367,-1.4784978142479688,70,1,15.0
8,0.7896949702614279,0.5460874991522988,0.3549021285347262,-0.9375839797670045,70,1,16.0
8,0.3807401281750201,0.33052664422375994,-0.18260079285553332,-0.576974756779695,70,1,18.0
8,0.951374791551403,0.11496578929522097,0.6735415849277543,-1.1178885912606593,70,1,15.0
8,1.4744565663130873,1.7316722012592631,-0.41272928913938695,-0.9375839797670045,70,1,14.0
6,-0.9697619084824193,-1.0706189128117432,-0.8198797056415895,1.0457667466631975,70,1,22.0
6,-0.9602513307594795,-1.0275067418260355,-0.9148278264859767,1.0457667466631975,70,1,18.0
6,-0.9507407530365398,-1.2861797677402822,-1.21576509085717,1.2260713581568523,70,1,21.0
4,-1.778161014932295,-1.0706189128117432,-1.561762480374852,0.8654621351695428,70,3,24.0
6,-0.9697619084824193,-1.0706189128117432,-0.8198797056415895,1.0457667466631975,70,1,22.0
6,-0.9507407530365398,-0.6394972029546653,-0.3177811682949998,1.406375969650507,70,1,17.0
6,-0.9507407530365398,-0.6394972029546653,-0.3177811682949998,1.406375969650507,70,1,17.0
6,-0.9507407530365398,-1.2861797677402822,-1.21576509085717,1.2260713581568523,70,1,21.0
6,-0.9602513307594795,-1.0275067418260355,-0.9148278264859767,1.0457667466631975,70,1,18.0
8,0.038359330149190435,0.11496578929522097,0.14569440464031383,-0.21636553379238554,70,1,16.0
8,0.019338174703311003,-0.10059506563331796,0.17144304758116458,-0.7572793682733497,70,1,16.0
8,1.4744565663130873,1.7316722012592631,1.7421102669730608,-0.9375839797670045,70,1,14.0
6,-0.646402265902469,-0.9628384853474737,-1.1401284522184207,0.14424368919492392,70,1,19.0
4,-1.9303302584993305,-1.2215115112617205,-1.9512107048552196,1.5866805811441618,70,3,20.0
6,-0.712976309963047,-0.8550580578832043,-0.5125052805351836,1.0457667466631975,70,1,16.0
8,0.4758459054044173,0.4383070716880294,0.5641098524291386,0.6851575236758881,70,1,13.0
